,cell_type
aagmkjjn-1,Epithelial
aagmlbdk-1,Unknown
aagmnkij-1,Unknown
aagmopag-1,Unknown
aagnfcod-1,Macrophages
aagnipdo-1,Unknown
aagnlgdd-1,Unknown
aagnnffa-1,Unknown
aagnpjib-1,Unknown
aagobegl-1,Unknown
aagobhci-1,CD8+ T cells
aagobkma-1,CD8+ T cells
aagoegfe-1,Unknown
aagofkda-1,Unknown
aagoheph-1,Unknown
aagokahj-1,Macrophages
aagpcmld-1,Macrophages
aagpdgpe-1,Unknown
aagpgelj-1,Unknown
aagpjfea-1,Unknown
aagplehc-1,Macrophages
aagpmbpc-1,Unknown
aahacmbd-1,Unknown
aahaekpo-1,Unknown
aahakdbm-1,Unknown
aahalhja-1,Unknown
aahbelef-1,CD8+ T cells
aahbeocp-1,Unknown
aahbiakk-1,Unknown
aahbkafm-1,Unknown
aahbmpdb-1,Unknown
aahcclcc-1,Unknown
aahcglhj-1,Macrophages
aahchojj-1,Unknown
aahckdcf-1,Unknown
aahclicd-1,Unknown
aahclnia-1,CD8+ T cells
aahdaglh-1,Unknown
aahdbdbm-1,Unknown
aahdckjh-1,Unknown
aahddclm-1,Macrophages
aahdgkbf-1,Unknown
aahdgpii-1,Unknown
aahdibap-1,Unknown
aahdlnnm-1,Unknown
aahebagb-1,Unknown
aahehgpi-1,CD8+ T cells
aaheipel-1,Macrophages
aaheojkb-1,CD8+ T cells
aahfegdh-1,CD4+ T cells
aahfpfco-1,CD8+ T cells
aahgahcf-1,CD8+ T cells
aahgbhne-1,Unknown
aahgcnpg-1,Unknown
aahggpko-1,Unknown
aahghien-1,CD8+ T cells
aahglkle-1,Macrophages
aahhaffa-1,Unknown
aahhanpn-1,CD8+ T cells
aahhckid-1,CD8+ T cells
aahhdcfm-1,Unknown
aahhdkcg-1,Unknown
aahhgehh-1,Epithelial
aahhglmm-1,Unknown
aahhhbie-1,Macrophages
aahhhkco-1,Unknown
aahhhlol-1,CD8+ T cells
aahhibhp-1,CD8+ T cells
aahhmicp-1,CD8+ T cells
aahhnpgc-1,Endothelial
aahibohh-1,Unknown
aahifdga-1,CD8+ T cells
aahincba-1,CD4+ T cells
aahiojhh-1,Unknown
aahipban-1,Unknown
aahjabin-1,CD4+ T cells
aahjaibf-1,Macrophages
aahjcdjj-1,Unknown
aahjhllf-1,CD8+ T cells
aahjjohb-1,Unknown
aahjjppd-1,Unknown
aahjkioa-1,CD8+ T cells
aahjkngd-1,Unknown
aahjlcce-1,Unknown
aahjmknd-1,CD8+ T cells
aahjoica-1,Epithelial
aahkaifo-1,Macrophages
aahkdeio-1,CD8+ T cells
aahkeedg-1,Unknown
aahkggjf-1,CD8+ T cells
aahkkcdo-1,CD8+ T cells
aahkkfno-1,Epithelial
aahklbbi-1,CD8+ T cells
aahkldbj-1,CD8+ T cells
aahkmppj-1,CD8+ T cells
aahknndh-1,CD8+ T cells
aahkodjb-1,Macrophages
aahkonkh-1,CD8+ T cells
aahlelbn-1,Macrophages
aahlfjpd-1,CD4+ T cells
aahlimil-1,CD8+ T cells
aahlkjad-1,CD8+ T cells
aahlmake-1,Unknown
aahlnkei-1,Macrophages
aahlocja-1,CD8+ T cells
aahlphmf-1,CD8+ T cells
aahlpoje-1,CD4+ T cells
aahmbjhd-1,Unknown
aahmeahd-1,CD8+ T cells
aahmeble-1,Unknown
aahmkeep-1,CD8+ T cells
aahmnafp-1,CD8+ T cells
aahmofod-1,Unknown
aahnbcia-1,Unknown
aahndjcg-1,Unknown
aahnfged-1,Macrophages
aahngfab-1,Macrophages
aahnnngp-1,CD4+ T cells
aahobbib-1,Macrophages
aahoblca-1,CD8+ T cells
aahocdpl-1,Unknown
aahodobd-1,CD8+ T cells
aahofdkc-1,Unknown
aahogdlh-1,Endothelial
aahoklnl-1,CD8+ T cells
aahommik-1,CD8+ T cells
aahoodak-1,CD8+ T cells
aahopngp-1,CD8+ T cells
aahpajhm-1,Macrophages
aahpceaf-1,Macrophages
aahpdjfm-1,Macrophages
aahpffhf-1,CD8+ T cells
aahpfoej-1,CD8+ T cells
aahpgofl-1,CD8+ T cells
aahphhic-1,CD8+ T cells
aahphiif-1,Macrophages
aahpibpj-1,CD8+ T cells
aahpnede-1,Epithelial
aahpnghg-1,CD8+ T cells
aaiaacdm-1,CD8+ T cells
aaiaahhd-1,CD8+ T cells
aaiabpbm-1,CD8+ T cells
aaiacmkj-1,CD8+ T cells
aaiadalk-1,CD8+ T cells
aaiaggld-1,CD8+ T cells
aaiahnjh-1,CD8+ T cells
aaiaiioe-1,Macrophages
aaiakdfg-1,CD8+ T cells
aaiamekh-1,Epithelial
aaiaoofn-1,CD8+ T cells
aaiapcpc-1,CD8+ T cells
aaibbhnk-1,CD8+ T cells
aaibdgac-1,CD8+ T cells
aaibfnie-1,CD8+ T cells
aaibogfd-1,CD8+ T cells
aaicabkh-1,Macrophages
aaicamaa-1,CD8+ T cells
aaicghlc-1,CD4+ T cells
aaichkpi-1,CD8+ T cells
aaichmce-1,CD8+ T cells
aaicjgoh-1,CD8+ T cells
aaiclnpk-1,CD8+ T cells
aaiclohm-1,CD4+ T cells
aaicnemj-1,CD4+ T cells
aaicnmki-1,CD8+ T cells
aaicofbi-1,CD8+ T cells
aaidbojk-1,CD8+ T cells
aaidedjo-1,Macrophages
aaidghnh-1,Unknown
aaidjfbo-1,CD8+ T cells
aaidmlgc-1,CD4+ T cells
aaidocdg-1,CD8+ T cells
aaidodgi-1,CD8+ T cells
aaidoenm-1,CD8+ T cells
aaidolgc-1,Unknown
aaiebadi-1,CD8+ T cells
aaiebegj-1,CD8+ T cells
aaiebnhk-1,Unknown
aaieefke-1,Macrophages
aaieffhi-1,CD8+ T cells
aaiefnao-1,CD8+ T cells
aaiegeib-1,CD8+ T cells
aaiehbii-1,CD8+ T cells
aaiejjgp-1,Endothelial
aaifbade-1,CD8+ T cells
aaifeelj-1,Unknown
aaifemkk-1,CD8+ T cells
aaiffeco-1,Unknown
aaifgbag-1,Epithelial
aaifgmfa-1,Epithelial
aaifmbhd-1,Macrophages
aaifnbci-1,CD8+ T cells
aaifnhea-1,Unknown
aaifpppb-1,Unknown
aaigapmf-1,Unknown
aaigdbpp-1,Macrophages
aaigidip-1,CD8+ T cells
aaigilmh-1,CD8+ T cells
aaigjiok-1,CD8+ T cells
aaigkhla-1,Epithelial
aaigkjac-1,Unknown
aaigknoa-1,Unknown
aaignloj-1,Unknown
aaihbmkg-1,Unknown
aaihdjpl-1,CD8+ T cells
aaihggmd-1,CD8+ T cells
aaihgnee-1,Unknown
aaihkmao-1,Macrophages
aaihlmlj-1,CD8+ T cells
aaihohim-1,CD8+ T cells
aaihpgll-1,Unknown
aaiigadd-1,Macrophages
aaiigbin-1,Macrophages
aaiignfc-1,Unknown
aaiiihkm-1,Unknown
aaiillde-1,Unknown
aaiioaal-1,Endothelial
aaijbpfg-1,Unknown
aaijdlog-1,CD8+ T cells
aaijenmo-1,CD4+ T cells
aaijfacl-1,Unknown
aaijfana-1,CD8+ T cells
aaijfhli-1,CD8+ T cells
aaijgdho-1,Unknown
aaijiodh-1,Unknown
aaijjhjm-1,Unknown
aaijompn-1,Epithelial
aaikchpb-1,Unknown
aaikgnak-1,Unknown
aaikhlfa-1,Macrophages
aaikjbfb-1,CD8+ T cells
aaikjgda-1,CD8+ T cells
aaikkfap-1,CD8+ T cells
aaiklepg-1,CD8+ T cells
aaikljon-1,Unknown
aaiklnof-1,CD8+ T cells
aailambk-1,CD8+ T cells
aailekdl-1,CD8+ T cells
aailhlol-1,Unknown
aailkfoh-1,CD4+ T cells
aaillacj-1,CD8+ T cells
aailmack-1,Unknown
aailogdj-1,CD8+ T cells
aailpbam-1,CD8+ T cells
aailpmck-1,Unknown
aaimcgee-1,CD8+ T cells
aaimcocm-1,Unknown
aaimjice-1,CD4+ T cells
aaimldpb-1,CD4+ T cells
aainccdm-1,CD8+ T cells
aainkcpn-1,CD4+ T cells
aainkfki-1,Unknown
aaioaemb-1,Unknown
aaiodihk-1,Macrophages
aaioemgm-1,Unknown
aaioldle-1,Unknown
aaionefk-1,Unknown
aaionpim-1,CD8+ T cells
aaiopoia-1,CD8+ T cells
aaiphdfl-1,CD8+ T cells
aaiphdjj-1,CD4+ T cells
aaipihjl-1,CD8+ T cells
aajaaogh-1,Unknown
aajabjen-1,Unknown
aajadejg-1,CD8+ T cells
aajafimi-1,CD8+ T cells
aajagfmp-1,Macrophages
aajaimbk-1,CD8+ T cells
aajajlkm-1,Unknown
aajajnkj-1,Macrophages
aajakjol-1,CD8+ T cells
aajandcj-1,CD8+ T cells
aajbaghd-1,Unknown
aajbclbp-1,Unknown
aajbhapl-1,CD8+ T cells
aajbhihc-1,CD8+ T cells
aajbjcac-1,CD8+ T cells
aajblfdm-1,CD8+ T cells
aajblfkc-1,CD8+ T cells
aajblgel-1,CD8+ T cells
aajbmgnk-1,Unknown
aajbngoo-1,Unknown
aajbpbon-1,CD8+ T cells
aajcaaak-1,Unknown
aajcbcij-1,CD8+ T cells
aajccgnf-1,CD4+ T cells
aajcfokd-1,Macrophages
aajcghbn-1,Unknown
aajckdam-1,Unknown
aajcljhc-1,Epithelial
aajcnfgm-1,CD8+ T cells
aajdbklf-1,CD8+ T cells
aajdgafk-1,Unknown
aajdhpmp-1,Unknown
aajdljkn-1,Unknown
aajdnalh-1,CD8+ T cells
aajdncfi-1,Unknown
aajdngce-1,CD8+ T cells
aajdopjj-1,CD8+ T cells
aajebjek-1,CD8+ T cells
aajebpfa-1,CD4+ T cells
aajehlcf-1,CD8+ T cells
aajeifjd-1,CD8+ T cells
aajekmbi-1,CD8+ T cells
aajeknfa-1,CD8+ T cells
aajeobjh-1,CD8+ T cells
aajeodph-1,CD8+ T cells
aajepbjj-1,CD8+ T cells
aajepdcm-1,CD8+ T cells
aajfdipj-1,CD8+ T cells
aajffgfc-1,CD8+ T cells
aajfgcka-1,Macrophages
aajfieei-1,CD8+ T cells
aajfiocp-1,Unknown
aajfjnkh-1,CD8+ T cells
aajfjooc-1,CD8+ T cells
aajflflj-1,Macrophages
aajgcgad-1,CD8+ T cells
aajgdied-1,CD8+ T cells
aajgdnkb-1,Unknown
aajgekjb-1,Unknown
aajgipai-1,CD8+ T cells
aajgjdia-1,Unknown
aajgjhhn-1,Unknown
aajgkddj-1,Unknown
aajgkmbo-1,Macrophages
aajglell-1,CD8+ T cells
aajgnbkd-1,CD8+ T cells
aajgodjd-1,Unknown
aajgonbl-1,CD8+ T cells
aajgpofp-1,CD8+ T cells
aajhaepa-1,Unknown
aajhagjn-1,CD8+ T cells
aajhahba-1,Unknown
aajhaiok-1,Unknown
aajhanjj-1,Unknown
aajhcmjg-1,Unknown
aajhkndh-1,CD8+ T cells
aajibllj-1,Unknown
aajiccdd-1,Unknown
aajickcp-1,Macrophages
aajiilli-1,Epithelial
aajiloim-1,CD8+ T cells
aajjajao-1,CD8+ T cells
aajjakpm-1,Unknown
aajjgdmb-1,CD8+ T cells
aajjgjcb-1,CD8+ T cells
aajjhmge-1,CD8+ T cells
aajjjkmm-1,Unknown
aajjkalf-1,Unknown
aajjkoba-1,CD8+ T cells
aajjmfha-1,CD8+ T cells
aajjohae-1,CD8+ T cells
aajkahai-1,CD8+ T cells
aajkcjhj-1,CD4+ T cells
aajkdigb-1,Unknown
aajkdmic-1,Macrophages
aajkdpjd-1,CD8+ T cells
aajkgcjd-1,Macrophages
aajkianm-1,Macrophages
aajkligd-1,Unknown
aajknejg-1,Macrophages
aajlbkjb-1,Unknown
aajlcdaa-1,CD8+ T cells
aajldfee-1,CD8+ T cells
aajlenfp-1,Unknown
aajlflma-1,CD8+ T cells
aajlhfga-1,CD8+ T cells
aajlhghi-1,Unknown
aajlilmo-1,Unknown
aajljmia-1,Macrophages
aajlmmnf-1,Macrophages
aajmaldm-1,CD8+ T cells
aajmbaoj-1,Macrophages
aajnbjia-1,CD8+ T cells
aajncamc-1,Macrophages
aajncpdf-1,CD4+ T cells
aajnegoj-1,Macrophages
aajngioa-1,Unknown
aajngjip-1,Unknown
aajnglkg-1,CD4+ T cells
aajnjcoa-1,Macrophages
aajnkojp-1,CD8+ T cells
aajnmebf-1,Unknown
aajnofag-1,Unknown
aajnohaa-1,CD4+ T cells
aajobfho-1,CD8+ T cells
aajobmah-1,CD8+ T cells
aajocfkb-1,CD8+ T cells
aajocief-1,CD8+ T cells
aajocphf-1,Endothelial
aajofphm-1,Unknown
aajpbnaa-1,CD8+ T cells
aajpcaeo-1,Unknown
aajpkdoc-1,CD8+ T cells
aajpkpla-1,CD8+ T cells
aajpngoe-1,CD8+ T cells
aajpojfe-1,Macrophages
aakachbc-1,CD8+ T cells
aakaclao-1,CD8+ T cells
aakadjpb-1,CD8+ T cells
aakagako-1,Unknown
aakaginl-1,Macrophages
aakahhgn-1,Endothelial
aakamjko-1,CD8+ T cells
aakangan-1,Epithelial
aakapbnj-1,CD8+ T cells
aakbdjoo-1,CD8+ T cells
aakbdnlj-1,CD8+ T cells
aakbebbn-1,CD8+ T cells
aakbeima-1,Unknown
aakbepna-1,CD8+ T cells
aakbfpme-1,CD8+ T cells
aakbjhpc-1,CD4+ T cells
aakbkfop-1,Unknown
aakbmbbe-1,CD8+ T cells
aakbmobg-1,Unknown
aakboccd-1,Unknown
aakbohkb-1,Macrophages
aakcbehd-1,CD8+ T cells
aakcdldb-1,CD8+ T cells
aakcgffp-1,CD8+ T cells
aakcicpo-1,CD8+ T cells
aakclnej-1,Unknown
aakcmfon-1,Unknown
aakcnhpi-1,Macrophages
aakcpmcl-1,Unknown
aakdfgco-1,CD8+ T cells
aakdjdcp-1,CD8+ T cells
aakdllfe-1,CD8+ T cells
aakdnphn-1,CD8+ T cells
aakdoand-1,CD8+ T cells
aakeaadd-1,CD8+ T cells
aakeaimj-1,CD8+ T cells
aakeajja-1,CD8+ T cells
aakealpp-1,CD8+ T cells
aakeblgo-1,Unknown
aakeeiam-1,CD8+ T cells
aakeickb-1,Unknown
aakeipid-1,CD8+ T cells
aakelphh-1,Epithelial
aakemhcj-1,CD8+ T cells
aakeooci-1,CD8+ T cells
aakfegcg-1,Unknown
aakffdpd-1,Macrophages
aakfhkfd-1,CD8+ T cells
aakfipbb-1,Unknown
aakfjncp-1,Macrophages
aakfkncg-1,CD8+ T cells
aakgfape-1,CD8+ T cells
aakgihac-1,CD8+ T cells
aakgijom-1,Unknown
aakgmhph-1,CD8+ T cells
aakhcohc-1,CD8+ T cells
aakhecgc-1,Macrophages
aakhhdbn-1,CD8+ T cells
aakhibal-1,CD8+ T cells
aakhilbk-1,Macrophages
aakhmhdk-1,Unknown
aakhmmba-1,CD8+ T cells
aakibkob-1,CD8+ T cells
aakidhng-1,CD8+ T cells
aakiefnh-1,Unknown
aakifnpj-1,CD8+ T cells
aakiigie-1,CD8+ T cells
aakikodi-1,CD8+ T cells
aakimgnh-1,CD8+ T cells
aakinimg-1,CD8+ T cells
aakipejn-1,Endothelial
aakjamcc-1,CD8+ T cells
aakjamfe-1,Unknown
aakjfffk-1,CD8+ T cells
aakjhlef-1,CD8+ T cells
aakjlgna-1,CD4+ T cells
aakjolnm-1,CD8+ T cells
aakkbkda-1,CD8+ T cells
aakkgcka-1,CD8+ T cells
aakkgojn-1,CD8+ T cells
aakkhfph-1,CD8+ T cells
aakkjjoo-1,Unknown
aakkjofh-1,CD8+ T cells
aakkkced-1,CD8+ T cells
aakkmcif-1,CD8+ T cells
aakkolbl-1,Unknown
aakkpgld-1,CD8+ T cells
aaklcaca-1,Unknown
aaklcalm-1,CD8+ T cells
aakldonn-1,CD8+ T cells
aaklejhm-1,CD8+ T cells
aaklfkop-1,Unknown
aaklikig-1,Unknown
aakljhdg-1,CD8+ T cells
aakllpdk-1,CD8+ T cells
aaklmmke-1,CD8+ T cells
aakloalm-1,Macrophages
aakmemlc-1,CD8+ T cells
aakmfkbh-1,CD8+ T cells
aakmfkbn-1,Unknown
aakmjign-1,CD8+ T cells
aakmlgjc-1,CD8+ T cells
aakmomcn-1,CD8+ T cells
aakmpoao-1,CD8+ T cells
aakndkbd-1,CD8+ T cells
aaknekbg-1,CD8+ T cells
aaknjmjd-1,CD8+ T cells
aaknmcjl-1,CD4+ T cells
aaknpdkm-1,CD8+ T cells
aakoafgd-1,CD8+ T cells
aakoalgh-1,Macrophages
aakobaod-1,CD4+ T cells
aakobmaj-1,CD8+ T cells
aakofhka-1,CD8+ T cells
aakohofk-1,CD8+ T cells
aakoimnk-1,CD8+ T cells
aakonhih-1,CD8+ T cells
aakoojim-1,CD8+ T cells
aakooljm-1,CD8+ T cells
aakopkan-1,CD8+ T cells
aakpbgjf-1,CD8+ T cells
aakpcfik-1,CD4+ T cells
aakpcnam-1,CD8+ T cells
aakpfakn-1,CD8+ T cells
aakpfheo-1,CD4+ T cells
aakpimkm-1,CD8+ T cells
aakpjfhj-1,Macrophages
aakplggj-1,Macrophages
aalaalhn-1,Macrophages
aalaambd-1,CD8+ T cells
aaladdel-1,CD4+ T cells
aalaelni-1,CD8+ T cells
aalafdcc-1,Macrophages
aalalaan-1,Macrophages
aalamdgn-1,CD8+ T cells
aalaoddk-1,CD8+ T cells
aalapgog-1,CD8+ T cells
aalbgcoe-1,CD8+ T cells
aalbjmnn-1,CD8+ T cells
aalblhin-1,CD8+ T cells
aalcagmf-1,CD8+ T cells
aalccbam-1,Unknown
aalcdheg-1,CD4+ T cells
aalcjcgb-1,CD8+ T cells
aalckoib-1,Unknown
aaldcpld-1,CD8+ T cells
aalddaef-1,Unknown
aaldkblp-1,CD8+ T cells
aaldlgek-1,Unknown
aaldmljd-1,CD8+ T cells
aaldmojk-1,CD8+ T cells
aaleacge-1,Unknown
aalecnel-1,CD8+ T cells
aaleeeol-1,CD8+ T cells
aalefjel-1,Unknown
aalefnfj-1,CD8+ T cells
aalegnne-1,CD8+ T cells
aalejlio-1,Epithelial
aalejlld-1,CD8+ T cells
aaleliie-1,CD4+ T cells
aalfaldl-1,CD8+ T cells
aalfbcdm-1,CD8+ T cells
aalfboch-1,Macrophages
aalfdjhm-1,CD8+ T cells
aalfdobo-1,CD8+ T cells
aalfmeii-1,CD4+ T cells
aalfoclk-1,CD8+ T cells
aalfoobj-1,CD8+ T cells
aalgalec-1,CD8+ T cells
aalgalpj-1,CD8+ T cells
aalgbbfc-1,Macrophages
aalgbndn-1,Unknown
aalgdpjm-1,Endothelial
aalgfacj-1,CD8+ T cells
aalggaap-1,CD8+ T cells
aalggobm-1,Macrophages
aalggpkd-1,CD8+ T cells
aalghgij-1,Unknown
aalgogll-1,CD8+ T cells
aalgohdh-1,Unknown
aalgolmo-1,CD8+ T cells
aalgpgnc-1,Macrophages
aalhfoki-1,CD8+ T cells
aalhoflg-1,CD8+ T cells
aaliagha-1,CD8+ T cells
aalidjoc-1,CD8+ T cells
aaliejkl-1,CD8+ T cells
aaliekce-1,CD8+ T cells
aalihdbc-1,Macrophages
aalihkpo-1,Unknown
aalihlkg-1,CD8+ T cells
aalioiep-1,CD8+ T cells
aaliokld-1,CD8+ T cells
aaljabbk-1,Macrophages
aaljbbfa-1,CD8+ T cells
aaljcoii-1,CD8+ T cells
aaljgbod-1,CD8+ T cells
aaljljgo-1,CD8+ T cells
aaljmgna-1,Unknown
aaljoaik-1,CD8+ T cells
aalkbmac-1,Macrophages
aalkcdcp-1,Macrophages
aalkedcf-1,Unknown
aalkehbh-1,CD8+ T cells
aalkgabi-1,CD8+ T cells
aalkimnh-1,Unknown
aalkjobb-1,Unknown
aalkommo-1,CD8+ T cells
aallaofi-1,Unknown
aalldmbc-1,CD8+ T cells
aallhkcb-1,CD8+ T cells
aalllbld-1,CD8+ T cells
aallnbmc-1,CD8+ T cells
aalloinh-1,CD4+ T cells
aallpege-1,CD8+ T cells
aallpkki-1,Macrophages
aalmaofg-1,Macrophages
aalmcfef-1,CD8+ T cells
aalmclop-1,CD8+ T cells
aalmdnoe-1,Unknown
aalmhepn-1,CD8+ T cells
aalmmfmd-1,Macrophages
aalncben-1,Unknown
aalncffe-1,Macrophages
aalndhaf-1,CD8+ T cells
aalnjbdm-1,CD8+ T cells
aalnkkgd-1,CD8+ T cells
aalnljli-1,CD4+ T cells
aalnncid-1,CD8+ T cells
aalnopff-1,CD8+ T cells
aaloahjh-1,CD8+ T cells
aaloalnj-1,CD8+ T cells
aalohnoe-1,CD8+ T cells
aaloiaka-1,Unknown
aaloinaa-1,Macrophages
aaloiocc-1,CD8+ T cells
aalokpfl-1,CD8+ T cells
aalolddf-1,CD8+ T cells
aalomdgf-1,CD8+ T cells
aalommfo-1,Unknown
aalommph-1,CD8+ T cells
aalpbkhp-1,Macrophages
aalpddhj-1,Macrophages
aalpeojh-1,CD8+ T cells
aalpibdi-1,CD4+ T cells
aalpmjnc-1,CD8+ T cells
aalpofen-1,Epithelial
aamaapen-1,CD8+ T cells
aamaciij-1,CD8+ T cells
aamadkjf-1,CD8+ T cells
aamaenki-1,CD8+ T cells
aamafada-1,Unknown
aamahabg-1,CD8+ T cells
aamaijae-1,CD8+ T cells
aamakcee-1,CD8+ T cells
aamaklac-1,Macrophages
aamaljcp-1,CD8+ T cells
aamapagi-1,Unknown
aambaaem-1,CD8+ T cells
aambblcd-1,Unknown
aambcieb-1,Epithelial
aambclpc-1,CD8+ T cells
aambdabn-1,CD8+ T cells
aambdkke-1,CD8+ T cells
aambifeo-1,CD8+ T cells
aambjijh-1,Macrophages
aambmope-1,CD8+ T cells
aambpjak-1,Unknown
aamcafob-1,CD8+ T cells
aamcbhcl-1,CD4+ T cells
aamcdmdk-1,Unknown
aamchbnk-1,Unknown
aamchcgl-1,CD8+ T cells
aamckmkk-1,CD8+ T cells
aamcmhhk-1,Unknown
aamcmpif-1,CD8+ T cells
aamcodol-1,CD8+ T cells
aamcpnel-1,CD8+ T cells
aamdagij-1,Unknown
aamdigdh-1,CD8+ T cells
aamdldlp-1,CD8+ T cells
aamdnggn-1,CD8+ T cells
aamdngld-1,Unknown
aamedjgl-1,CD8+ T cells
aamehkbg-1,Macrophages
aameijbe-1,CD8+ T cells
aamekhok-1,CD8+ T cells
aamelipo-1,CD8+ T cells
aamenhjj-1,CD8+ T cells
aamfecfo-1,CD8+ T cells
aamffbln-1,CD8+ T cells
aamfghll-1,CD8+ T cells
aamfgmbb-1,CD8+ T cells
aamfhljn-1,Macrophages
aamfkhgh-1,Macrophages
aamfmben-1,CD8+ T cells
aamfmomp-1,Unknown
aamgaemd-1,CD8+ T cells
aamgapkj-1,CD8+ T cells
aamgcojk-1,CD4+ T cells
aamgdgln-1,CD8+ T cells
aamggeea-1,CD8+ T cells
aamgmdol-1,Unknown
aamgmnii-1,Macrophages
aamgnknd-1,CD8+ T cells
aamgoijl-1,CD8+ T cells
aamgpiej-1,CD8+ T cells
aamhafkk-1,CD8+ T cells
aamhdmkm-1,CD8+ T cells
aamhecik-1,CD8+ T cells
aamhegmi-1,CD8+ T cells
aamhfhbf-1,Epithelial
aamhhdih-1,Macrophages
aamiaeeh-1,CD8+ T cells
aamibndb-1,CD8+ T cells
aamihifi-1,CD8+ T cells
aamiiiof-1,Macrophages
aamiipkc-1,Macrophages
aamillkb-1,Macrophages
aamiokcc-1,Unknown
aamjgook-1,CD8+ T cells
aamjlfkf-1,CD8+ T cells
aamjlfme-1,CD8+ T cells
aamjlhhh-1,CD8+ T cells
aamjmaao-1,CD8+ T cells
aamjmdhg-1,CD8+ T cells
aamkaoci-1,CD8+ T cells
aamkbdjk-1,Unknown
aamkcdgk-1,CD8+ T cells
aamkeaif-1,CD8+ T cells
aamkefjd-1,CD8+ T cells
aamkgoeb-1,Unknown
aamkiboi-1,Unknown
aamkjkbe-1,Macrophages
aamklfpe-1,B cells
aamklghj-1,CD8+ T cells
aamkolip-1,Macrophages
aamkpjgp-1,CD4+ T cells
aamlcpel-1,Unknown
aamldlha-1,CD8+ T cells
aamldlne-1,Unknown
aamleilp-1,CD8+ T cells
aamllobe-1,Unknown
aamlmffg-1,CD8+ T cells
aamlnhkn-1,Macrophages
aamlojea-1,CD8+ T cells
aamlonld-1,Macrophages
aamlpihm-1,CD8+ T cells
aammbclj-1,CD8+ T cells
aammdcgg-1,Macrophages
aammeokm-1,CD8+ T cells
aammflac-1,CD8+ T cells
aammfmml-1,CD8+ T cells
aammkaph-1,CD8+ T cells
aammnnap-1,CD8+ T cells
aammplda-1,Unknown
aamnfgeg-1,Macrophages
aamnipeg-1,CD8+ T cells
aamnpioj-1,CD8+ T cells
aamoamnc-1,CD8+ T cells
aamoanal-1,CD8+ T cells
aamobeak-1,CD8+ T cells
aamodigb-1,Macrophages
aamofadn-1,CD8+ T cells
aamofhie-1,CD4+ T cells
aamofopo-1,CD8+ T cells
aamohkif-1,Unknown
aamoncma-1,CD4+ T cells
aamondad-1,CD4+ T cells
aampbcfh-1,Unknown
aampbldk-1,CD4+ T cells
aampfphi-1,CD4+ T cells
aampgnga-1,CD4+ T cells
aamphmpn-1,Unknown
aampljhp-1,CD4+ T cells
aamppmfa-1,Macrophages
aanaachi-1,Unknown
aanadhhe-1,CD4+ T cells
aanaeceg-1,Epithelial
aanafgfk-1,Macrophages
aanagnhm-1,CD4+ T cells
aanaipdo-1,CD4+ T cells
aanammpj-1,Macrophages
aananmda-1,Macrophages
aanaokcl-1,CD8+ T cells
aanbbmki-1,CD4+ T cells
aanbbodm-1,Unknown
aanbdheo-1,CD4+ T cells
aanbedmi-1,Macrophages
aanbfclg-1,CD8+ T cells
aanbgckg-1,CD4+ T cells
aanbhhlf-1,CD4+ T cells
aanbikpg-1,CD8+ T cells
aanbjkbn-1,Unknown
aanbjnhc-1,CD8+ T cells
aanbodgd-1,CD8+ T cells
aanccpjb-1,CD8+ T cells
aancdghn-1,CD8+ T cells
aancenck-1,CD8+ T cells
aancglen-1,Macrophages
aanchhcg-1,CD8+ T cells
aanciabf-1,CD8+ T cells
aancmaic-1,Macrophages
aancmggc-1,Macrophages
aancpenn-1,Macrophages
aanddjcm-1,CD8+ T cells
aandecem-1,CD8+ T cells
aandfakb-1,CD8+ T cells
aandhefp-1,CD8+ T cells
aandhlce-1,Macrophages
aandlakc-1,CD8+ T cells
aandpnnh-1,Macrophages
aandpogi-1,CD8+ T cells
aanebiim-1,CD8+ T cells
aanejdob-1,Unknown
aanenefp-1,Unknown
aanfdlce-1,Endothelial
aanfghkb-1,CD8+ T cells
aanfhfpp-1,CD8+ T cells
aanfijab-1,Unknown
aanfjhbm-1,CD8+ T cells
aanfjomp-1,Macrophages
aanfkbfj-1,Macrophages
aanfngcm-1,CD4+ T cells
aangalcm-1,CD8+ T cells
aangalfj-1,Macrophages
aangdmhb-1,Macrophages
aangmoif-1,CD4+ T cells
aangndap-1,Unknown
aanhbljj-1,CD4+ T cells
aanhecam-1,CD8+ T cells
aanhhgaf-1,CD8+ T cells
aanhhmff-1,CD8+ T cells
aanhilgf-1,Macrophages
aanhojgg-1,Macrophages
aanhpcee-1,CD8+ T cells
aanhphmm-1,Macrophages
aanibpfo-1,CD4+ T cells
aanidhfg-1,Unknown
aanikice-1,Unknown
aanilanm-1,CD8+ T cells
aanilmnn-1,Macrophages
aanimdoc-1,Macrophages
aanimgdm-1,CD8+ T cells
aanjbflg-1,Unknown
aanjdmbc-1,Macrophages
aanjhnno-1,CD8+ T cells
aanjkcoi-1,Unknown
aanjndbi-1,CD8+ T cells
aanjnffm-1,CD8+ T cells
aanjnike-1,CD8+ T cells
aanjpfdp-1,Macrophages
aankbmkl-1,Macrophages
aankclea-1,CD8+ T cells
aankeenl-1,Endothelial
aankejak-1,Unknown
aankibbh-1,Macrophages
aankipeo-1,Macrophages
aankjmba-1,CD8+ T cells
aankkjnm-1,CD8+ T cells
aankljfo-1,CD8+ T cells
